Data Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Step 2,Chan 1,Chan 2,Step 3,Chan 1,Chan 2,Step 4,Chan 1,Chan 2,Step 5,Chan 1,Chan 2,Step 6,Chan 1,Chan 2,Step 7,Chan 1,Chan 2,Step 8,Chan 1,Chan 2,
,,,,,,Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),Time (ms),Result (nV),Result (nV),
1,7,1,1,8,0,-10,-3600.57373046875,-956.197998046875,-10,-288.019866943359,130.993835449219,-10,4854.974609375,4359.24755859375,-10,4512.95849609375,5326.5859375,-10,38300.48828125,34784.359375,-10,46141.64453125,37816.125,-10,73637.5859375,54826.1328125,-10,60577.0859375,40544.12109375,
1,8,2,1,9,0,-9.5,-3154.09423828125,-1070.02172851563,-9.5,-178.172393798828,-168.641082763672,-9.5,3987.86181640625,3671.94555664063,-9.5,3560.27954101563,4899.9130859375,-9.5,37266.16015625,33888.66015625,-9.5,46320.140625,39019.38671875,-9.5,73362.375,54448.70703125,-9.5,60423.9140625,41284.3203125,
2,10,1,1,11,0,-9,-2824.11108398438,-1406.96264648438,-9,-707.313171386719,-830.076293945313,-9,3274.29638671875,3238.41723632813,-9,2640.22119140625,4322.56884765625,-9,36584.08984375,33378.015625,-9,48012.57421875,41402.0390625,-9,72812.171875,53643.99609375,-9,60032.76953125,42021.89453125,
2,11,2,1,12,0,-8.5,-2374.0380859375,-1634.86450195313,-8.5,-1445.58728027344,-1636.20190429688,-8.5,2870.31323242188,3188.80102539063,-8.5,2078.62841796875,3801.42333984375,-8.5,36281.4921875,33155.92578125,-8.5,51710.69140625,45211.5,-8.5,71640.125,52937.30078125,-8.5,59459.60546875,42508.828125,
3,13,1,1,14,0,-8,-1782.05126953125,-1852.43603515625,-8,-1600.86279296875,-1883.30029296875,-8,3162.02685546875,3832.32641601563,-8,1701.6484375,3534.40698242188,-8,36102.6953125,32870.359375,-8,55709.0546875,48550.703125,-8,69610.5,52358.9453125,-8,59043.45703125,42940.4296875,
3,14,2,1,15,0,-7.5,-1307.94897460938,-2435.97998046875,-7.5,-1033.39086914063,-1344.00012207031,-7.5,4237.1533203125,5263.02734375,-7.5,1853.52001953125,3825.92578125,-7.5,35715.36328125,32293.4609375,-7.5,58329.03125,49929.6171875,-7.5,67001.65625,51231.796875,-7.5,58670.81640625,43172.671875,
4,16,1,1,17,0,-7,-1635.93212890625,-3489.02099609375,-7,-450.384643554688,-636.723388671875,-7,5388.72021484375,6596.12890625,-7,2627.2431640625,4518.8544921875,-7,34878.37890625,31474.09375,-7,59689.85546875,49880.69921875,-7,64478.15625,49850.52734375,-7,57832.20703125,43016.80859375,
4,17,2,1,18,0,-6.5,-2883.75634765625,-4737.20166015625,-6.5,39.7118797302246,-71.9906616210938,-6.5,6245.0546875,7371.59765625,-6.5,3507.93920898438,5110.486328125,-6.5,34058.28515625,30710.275390625,-6.5,60429.0546875,49522.30859375,-6.5,62295.08203125,48509.23828125,-6.5,56980.0078125,42586.04296875,
5,19,1,1,20,0,-6,-4232.31689453125,-5720.87841796875,-6,465.407989501953,501.649780273438,-6,7072.1884765625,7976.2783203125,-6,4306.111328125,5459.51708984375,-6,33817.94921875,30236.546875,-6,60599,48692.23828125,-6,60396.22265625,46835.46875,-6,56833.59765625,42343.28515625,
5,20,2,1,21,0,-5.5,-5345.7109375,-6340.1728515625,-5.5,424.959106445313,906.326416015625,-5.5,7994.01416015625,8314.732421875,-5.5,5397.9443359375,5808.39501953125,-5.5,33784.07421875,29678.3046875,-5.5,59610.75,46538.2421875,-5.5,59153.30859375,45512.734375,-5.5,57264.5,42295.8046875,
6,22,1,1,23,0,-5,-6326.74951171875,-6746.50634765625,-5,203.786590576172,877.113403320313,-5,8607.580078125,8210.765625,-5,6562.82763671875,6117.26953125,-5,33207.8984375,28585.60546875,-5,57113.6171875,43206.6796875,-5,58299.3828125,44589.73046875,-5,58045.75,42454.07421875,
6,23,2,1,24,0,-4.5,-7015.45458984375,-6920.9873046875,-4.5,507.978302001953,890.796752929688,-4.5,8413.73828125,7642.8505859375,-4.5,7576.8359375,6394.2529296875,-4.5,32139.3359375,27261.96484375,-4.5,53696.62109375,39654.9921875,-4.5,57287.90625,43480.93359375,-4.5,59169.515625,43375.65234375,
7,25,1,1,26,0,-4,-7583.69140625,-6888.5146484375,-4,1116.68615722656,1238.12084960938,-4,7496.6748046875,6427.4013671875,-4,8870.59375,6930.162109375,-4,31137.591796875,26189.287109375,-4,50873.9921875,37439.1953125,-4,56254.87109375,42289.4921875,-4,60074.36328125,44265.7265625,
7,26,2,1,27,0,-3.5,-8233.435546875,-6805.689453125,-3.5,1166.798828125,1187.91955566406,-3.5,6265.1611328125,4727.85546875,-3.5,10207.6337890625,7909.48974609375,-3.5,30005.314453125,25343.08984375,-3.5,49536.8203125,37017.60546875,-3.5,55528.390625,41132.5390625,-3.5,60302.44921875,44296.13671875,
8,28,1,1,29,0,-3,-8551.6591796875,-6600.3359375,-3,646.292297363281,384.656677246094,-3,5217.29296875,3435.0888671875,-3,10985.236328125,9115.734375,-3,28634.44140625,24644.037109375,-3,48828.28125,37267.86328125,-3,55328.6875,40138.453125,-3,60695.39453125,44637.671875,
8,29,2,1,30,0,-2.5,-8030.71484375,-5889.1904296875,-2.5,376.714965820313,-453.572021484375,-2.5,4623.2763671875,3121.3076171875,-2.5,11387.412109375,10108.4453125,-2.5,27418.90234375,24030.78125,-2.5,47657.28125,37594.3125,-2.5,55421.5625,39389.109375,-2.5,61598.96875,45783.09765625,
,,,,,,-2,-6679.8193359375,-4646.6669921875,-2,592.552185058594,-804.377380371094,-2,3903.38354492188,3050.5478515625,-2,11804.4990234375,10599.8447265625,-2,26238.873046875,23401.677734375,-2,46144.796875,37628.828125,-2,55660.046875,39195.58984375,-2,62314.92578125,46995.58984375,
,,,,,,-1.5,-4887.1962890625,-3270.40771484375,-1.5,757.295166015625,-848.952697753906,-1.5,2881.0341796875,2499.01342773438,-1.5,12439.31640625,10762.634765625,-1.5,25250.203125,22789.19921875,-1.5,44453.2578125,36854.58203125,-1.5,56324.15625,39678.81640625,-1.5,62888.1328125,48070.29296875,
,,,,,,-1,-3060.03198242188,-1872.53588867188,-1,409.879486083984,-835.981201171875,-1,2068.66821289063,1637.57006835938,-1,13244.73046875,10943.8466796875,-1,24780.14453125,22376.330078125,-1,42393.91015625,35415.8046875,-1,57506.7421875,40444.2734375,-1,63325.71484375,48607.640625,
,,,,,,-0.5,-1617.74951171875,-472.729736328125,-0.5,-342.398986816406,-954.541381835938,-0.5,1549.40893554688,880.538818359375,-0.5,13839.49609375,10956.1015625,-0.5,24407.990234375,22078.259765625,-0.5,40527.18359375,33910.02734375,-0.5,58872.30859375,41207.25390625,-0.5,63454.7578125,48518.55859375,
,,,,,,0,-659.005859375,798.9052734375,0,-1130.10571289063,-1332.51965332031,0,1323.6474609375,419.2021484375,0,14337.4248046875,11302.943359375,0,24177.32421875,21743.306640625,0,39526.828125,32952.82421875,0,60133.94921875,42552.06640625,0,63327.06640625,48669.9609375,
,,,,,,0.5,141.94189453125,1974.21435546875,0.5,-1626.87145996094,-1692.18579101563,0.5,1100.498046875,91.205078125,0.5,14880.21484375,12295.779296875,0.5,24270.400390625,21434.880859375,0.5,39332.2421875,32519.61328125,0.5,61266.5625,43976.93359375,0.5,62623.50390625,46926.7578125,
,,,,,,1,954.16943359375,3261.3388671875,1,-1831.02600097656,-1942.87438964844,1,551.666015625,-63.4775390625,1,15415.759765625,13315.45703125,1,24075.228515625,20955.88671875,1,39713.375,32255.59765625,1,62278.7734375,44535.875,1,61188.9296875,42244.67578125,
,,,,,,1.5,1790.2548828125,4522.4931640625,1.5,-2178.66381835938,-2393.96044921875,1.5,93.44287109375,42.046875,1.5,16890.91015625,15001.2119140625,1.5,23713.94140625,20365.47265625,1.5,40503.90625,32334.83203125,1.5,63057.56640625,45288.95703125,1.5,59834.6640625,39892.1796875,
,,,,,,2,2562.23046875,5178.197265625,2,-2602.13940429688,-2689.50512695313,2,-236.21484375,-216.419921875,2,19710.814453125,17904.37890625,2,23713.875,19973.935546875,2,41287.12109375,32645.1796875,2,63391.734375,46401.19921875,2,59872.28515625,41621.69140625,
,,,,,,2.5,3139.28857421875,5273.626953125,2.5,-2844.89965820313,-2556.48193359375,2.5,-867.02392578125,-1129.28125,2.5,22426.09375,20986.30859375,2.5,23821.125,19720.365234375,2.5,41809.7421875,32919.9765625,2.5,62413.9921875,46527.97265625,2.5,59673.53125,42725.58203125,
,,,,,,3,3548.283203125,5214.6279296875,3,-3015.666015625,-2374.8681640625,3,-1645.60205078125,-2104.2197265625,3,24007.5703125,22771.1796875,3,23621.693359375,19341.59375,3,41794.3671875,32860.984375,3,57660.5,43140.453125,3,52653.328125,36864.33984375,
,,,,,,3.5,3714.5263671875,4886.9228515625,3.5,-3009.74340820313,-2086.10668945313,3.5,-2260.6943359375,-2830.1416015625,3.5,24700.876953125,23125.927734375,3.5,22575.880859375,18198.0234375,3.5,39576.0078125,30632.4453125,3.5,44689.6640625,31639.86328125,3.5,29042.3984375,16259.33203125,
,,,,,,4,3884.81640625,4484.5546875,4,-2780.8857421875,-1585.08825683594,4,-2678.16064453125,-3502.4931640625,4,24360.125,22457.33984375,4,19558.37890625,15320.0537109375,4,32039.939453125,22974.50390625,4,17425.765625,6901.47265625,4,-18071.1328125,-24163.7578125,
