Marker Table,,,,,,,,,,,,
Group,Name,Cage #,DOB,Date,S,C,R,Eye,Name,uV,ms,
,,,,,,,,,,,,
0, RHO-DTR N3,,3/1/2018,6/12/2018,1,1,1,RE,a,-1.529,10,
0, RHO-DTR N3,,3/1/2018,6/12/2018,1,1,1,RE,B,88.93,108.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,1,2,1,LE,a,0.473,10,
0, RHO-DTR N3,,3/1/2018,6/12/2018,1,2,1,LE,B,239.3,107,
0, RHO-DTR N3,,3/1/2018,6/12/2018,2,1,1,RE,a,1.485,10,
0, RHO-DTR N3,,3/1/2018,6/12/2018,2,1,1,RE,B,79.88,74.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,2,2,1,LE,a,6.719,27,
0, RHO-DTR N3,,3/1/2018,6/12/2018,2,2,1,LE,B,250.3,79.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,3,1,1,RE,a,-3.305,22,
0, RHO-DTR N3,,3/1/2018,6/12/2018,3,1,1,RE,B,93,62,
0, RHO-DTR N3,,3/1/2018,6/12/2018,3,2,1,LE,a,-57.98,21.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,3,2,1,LE,B,305,55.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,4,1,1,RE,a,-23.75,18.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,4,1,1,RE,B,97.25,48.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,4,2,1,LE,a,-110.7,18.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,4,2,1,LE,B,330.2,54.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,5,1,1,RE,a,-14.38,12,
0, RHO-DTR N3,,3/1/2018,6/12/2018,5,1,1,RE,B,123.6,77.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,5,2,1,LE,a,-106.2,12,
0, RHO-DTR N3,,3/1/2018,6/12/2018,5,2,1,LE,B,370.4,67,
0, RHO-DTR N3,,3/1/2018,6/12/2018,6,1,1,RE,a,-17.67,10,
0, RHO-DTR N3,,3/1/2018,6/12/2018,6,1,1,RE,B,98.58,58,
0, RHO-DTR N3,,3/1/2018,6/12/2018,6,2,1,LE,a,-107.5,10,
0, RHO-DTR N3,,3/1/2018,6/12/2018,6,2,1,LE,B,346.2,74.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,7,1,1,RE,a,-46.53,7,
0, RHO-DTR N3,,3/1/2018,6/12/2018,7,1,1,RE,B,119.9,56.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,7,2,1,LE,a,-129.5,7,
0, RHO-DTR N3,,3/1/2018,6/12/2018,7,2,1,LE,B,368.5,57,
0, RHO-DTR N3,,3/1/2018,6/12/2018,8,1,1,RE,a,-46.14,5.5,
0, RHO-DTR N3,,3/1/2018,6/12/2018,8,1,1,RE,B,170.3,55,
0, RHO-DTR N3,,3/1/2018,6/12/2018,8,2,1,LE,a,-124.6,6,
0, RHO-DTR N3,,3/1/2018,6/12/2018,8,2,1,LE,B,371.7,60,
